scenario,model,horizon,predicted_nrmse,measured_nrmse
colored_beta15,triangular,64,0.9129509100737556,0.9581146380100901
colored_beta15,triangular,128,0.9241929513119123,0.994088443139344
colored_beta15,uniform,1,0.3258332105970908,0.3270624310120662
colored_beta15,uniform,2,0.43305951213698346,0.43523897590899485
colored_beta15,uniform,4,0.5322083762332082,0.5353896317569306
colored_beta15,uniform,8,0.6332544404312408,0.6389958825790995
colored_beta15,uniform,16,0.7475658880223195,0.7607342944901544
colored_beta15,uniform,32,0.8419769714111885,0.8680387134986366
colored_beta15,uniform,64,0.9044097964367478,0.9531365225844792
colored_beta15,uniform,128,0.9156747942732455,0.981982085290747
nonlinear_ar1_phi085,AB_noaux,1,0.5732451299210934,0.5812591679403182
nonlinear_ar1_phi085,AB_noaux,2,0.7475804958580534,0.7499621243239394
nonlinear_ar1_phi085,AB_noaux,4,0.8986065846633079,0.89799842962617
nonlinear_ar1_phi085,AB_noaux,8,0.9869168005842097,0.9859031293400737
nonlinear_ar1_phi085,AB_noaux,16,1.0060896766754777,1.0072651120048068
nonlinear_ar1_phi085,AB_noaux,32,1.0085473555601212,1.008125964667813
nonlinear_ar1_phi085,AB_noaux,64,1.0122160534305509,1.0121882679793055
nonlinear_ar1_phi085,AB_noaux,128,1.0119419282987165,1.0124038539777394
