construction,analysis_mode,set,horizon,n_segments,mean_nrmse,ci95_lo,ci95_hi,diff_from_k0
ESN66_K0,fixed_core,F,2,20,0.33149290979581364,0.28949296899840743,0.3756474288851843,0.0
ESN66_K0,fixed_core,F,4,20,0.6230909842832935,0.5633426561598123,0.6827876328953901,0.0
ESN66_K0,fixed_core,F,8,20,0.9326774366834141,0.879570120135686,0.9828093740637684,0.0
ESN66_K0,fixed_core,F,16,20,1.0877867317040577,1.0361160837276195,1.1442550953941202,0.0
ESN66_K0,fixed_core,F,32,20,1.1236057453377075,1.0772711574427436,1.177350768934451,0.0
ESN66_K0,fixed_core,F,64,20,1.12191638924182,1.0742321645163546,1.1780848863237625,0.0
ESN66_K0,fixed_core,F,128,20,1.1090545654180333,1.059182425517994,1.1687675798152293,0.0
ESN66_K0,fixed_core,S,1,20,0.16263001177285052,0.13674843159892244,0.19115387778136367,0.0
ESN66_K0,fixed_core,S,2,20,0.3671030680930869,0.3173989938311382,0.42580756534084985,0.0
ESN66_K0,fixed_core,S,4,20,0.7687918575077755,0.7011937430689482,0.8433715719244737,0.0
ESN66_K0,fixed_core,S,8,20,0.9654445982269415,0.9214207486263148,1.0163194262744377,0.0
ESN66_K0,fixed_core,S,16,20,0.9722460203733487,0.943681279382886,1.0040040812667188,0.0
ESN66_K0,fixed_core,S,32,20,0.9973516844449899,0.9812401221482379,1.013576890246004,0.0
ESN66_K0,fixed_core,S,64,20,1.0096123640608865,1.0014430874161881,1.0234627031248096,0.0
ESN66_K0,fixed_core,S,128,20,1.0077358974061488,1.0008323045798246,1.0174351057897086,0.0
ESN66_K0,fixed_core,Z,1,20,0.26573772230993686,0.23204750114516726,0.3109961834877474,0.0
ESN66_K0,fixed_core,Z,2,20,0.5061285583535369,0.4615532542163753,0.562478197681069,0.0
ESN66_K0,fixed_core,Z,4,20,0.8742933685025939,0.8263499173160688,0.9272392246075329,0.0
ESN66_K0,fixed_core,Z,8,20,0.9982627843332024,0.9566996023607623,1.0397116126231751,0.0
ESN66_K0,fixed_core,Z,16,20,1.0297462369825527,0.9846542250753103,1.0773747681667991,0.0
ESN66_K0,fixed_core,Z,32,20,1.1012756125348113,1.052758816330488,1.1590946732153402,0.0
ESN66_K0,fixed_core,Z,64,20,1.162504993977575,1.0907427931200606,1.2473795504566674,0.0
ESN66_K0,fixed_core,Z,128,20,1.1775424678479225,1.094698912815684,1.27629411430693,0.0
ESN66_K0,retuned_core,F,1,20,0.18461477790204572,0.1552990069322508,0.2162920460935029,0.0
ESN66_K0,retuned_core,F,2,20,0.33149290979581364,0.28949296899840743,0.3756474288851843,0.0
ESN66_K0,retuned_core,F,4,20,0.6230909842832935,0.5633426561598123,0.6827876328953901,0.0
ESN66_K0,retuned_core,F,8,20,0.9326774366834141,0.879570120135686,0.9828093740637684,0.0
ESN66_K0,retuned_core,F,16,20,1.0877867317040577,1.0361160837276195,1.1442550953941202,0.0
ESN66_K0,retuned_core,F,32,20,1.1236057453377075,1.0772711574427436,1.177350768934451,0.0
ESN66_K0,retuned_core,F,64,20,1.12191638924182,1.0742321645163546,1.1780848863237625,0.0
ESN66_K0,retuned_core,F,128,20,1.1090545654180333,1.059182425517994,1.1687675798152293,0.0
ESN66_K0,retuned_core,S,1,20,0.16263001177285052,0.13674843159892244,0.19115387778136367,0.0
ESN66_K0,retuned_core,S,2,20,0.3671030680930869,0.3173989938311382,0.42580756534084985,0.0
ESN66_K0,retuned_core,S,4,20,0.7687918575077755,0.7011937430689482,0.8433715719244737,0.0
ESN66_K0,retuned_core,S,8,20,0.9654445982269415,0.9214207486263148,1.0163194262744377,0.0
ESN66_K0,retuned_core,S,16,20,0.9722460203733487,0.943681279382886,1.0040040812667188,0.0
ESN66_K0,retuned_core,S,32,20,0.9973516844449899,0.9812401221482379,1.013576890246004,0.0
