construction,analysis_mode,set,horizon,seed,alpha,selection_scheme
ESN66_K0,fixed_core,S,1,5,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,S,2,5,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,4,5,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,8,5,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,16,5,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,32,5,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,64,5,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,128,5,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,1,6,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,2,6,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,4,6,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,8,6,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,S,16,6,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,32,6,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,64,6,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,128,6,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,1,7,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,2,7,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,4,7,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,8,7,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,16,7,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,32,7,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,64,7,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,128,7,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,1,8,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,S,2,8,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,S,4,8,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,8,8,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,S,16,8,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,32,8,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,64,8,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,128,8,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,1,9,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,S,2,9,0.001,blocked_segments_train_val
ESN66_K0,fixed_core,S,4,9,0.001,blocked_segments_train_val
ESN66_K0,fixed_core,S,8,9,0.01,blocked_segments_train_val
ESN66_K0,fixed_core,S,16,9,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,32,9,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,64,9,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,128,9,10.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,1,10,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,S,2,10,1e-08,blocked_segments_train_val
ESN66_K0,fixed_core,S,4,10,0.1,blocked_segments_train_val
ESN66_K0,fixed_core,S,8,10,1.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,16,10,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,32,10,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,64,10,100.0,blocked_segments_train_val
ESN66_K0,fixed_core,S,128,10,10.0,blocked_segments_train_val
ESN66_K0,retuned_core,Z,1,1,0.001,blocked_segments_train_val
ESN66_K0,retuned_core,Z,2,1,0.001,blocked_segments_train_val
ESN66_K0,retuned_core,Z,4,1,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,8,1,0.01,blocked_segments_train_val
ESN66_K0,retuned_core,Z,16,1,0.01,blocked_segments_train_val
ESN66_K0,retuned_core,Z,32,1,0.0001,blocked_segments_train_val
ESN66_K0,retuned_core,Z,64,1,1.0,blocked_segments_train_val
ESN66_K0,retuned_core,Z,128,1,10.0,blocked_segments_train_val
ESN66_K0,retuned_core,Z,1,2,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,2,2,1e-08,blocked_segments_train_val
