set,model,horizon,shots,mean_nrmse,median_nrmse_inflation,mean_nrmse_inflation,paired_segment_ci95_low,paired_segment_ci95_high,median_relative_nrmse_inflation,mean_relative_nrmse_inflation,p90_relative_nrmse_inflation,useful_horizon,criterion,exact_useful_horizon,useful_horizon_change_from_exact,median,p90,principal_signs_preserved,stratum_pass,stratum_pass_fraction_within_shot,principal_sign_fraction_definition
F,QRC_K0,2,100,0.7930390271416515,0.3485555743654166,0.419632967058867,0.3325007536169923,0.5148781413039346,1.3016603261725548,1.2691805367936588,2.157859899788229,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,1.2356403022673037,2.123568183361215,True,False,0.5,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,2,300,0.681907016334729,0.2606236700069226,0.3085009562519445,0.2354456450680067,0.3913560066318873,0.9509971657074344,0.9389644871792904,1.704206369809336,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.8761739781457794,1.627280518994637,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,2,1000,0.5834448825473243,0.1741690566675465,0.2100388224645396,0.1504305702938927,0.2735882017155799,0.6507076185536556,0.6485022790029067,1.2134211739719556,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.5953532453986446,1.196401755417023,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,2,3000,0.5222368940515505,0.118942371459013,0.1488308339687658,0.1011276220045526,0.1966945706612518,0.4726511538644675,0.4668089378553586,0.9377626659648658,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.445402458027088,0.918365295441795,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,2,10000,0.4777185584359836,0.0854409212927254,0.104312498353199,0.0655503388080724,0.1433404819740543,0.3199393178304676,0.3310422969084441,0.6947674591825119,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.3111330658880167,0.6905205073633014,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,4,100,0.9207019633239986,0.221187708248725,0.275960166918043,0.2028990961079763,0.3537923644499783,0.4433401274236518,0.4624625963443778,0.877721695236122,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.4501674337545155,0.8673433867799754,True,False,0.5,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,4,300,0.8435724757684905,0.1595284098735099,0.1988306793625348,0.1397508304161986,0.2611711582969138,0.3197403878272411,0.3353017916698043,0.6700234252219256,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.3198554169327106,0.6685927531840633,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,4,1000,0.7772150914418933,0.1073701656994274,0.1324732950359376,0.088366677439369,0.1765582658035852,0.2118452374419287,0.2254610753782831,0.4677071625017699,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.2150863582978319,0.4861063361220277,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,4,3000,0.7360177954200589,0.0772620361218735,0.0912759990141033,0.0558532982585885,0.1249017679593976,0.1520042613906402,0.1572839436379483,0.3436856732222741,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.1541153215404966,0.3566173946833954,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,4,10000,0.7082729149065713,0.0529183755152059,0.0635311185006157,0.0390588862168225,0.0913878046011942,0.1003414208760005,0.1099854406231085,0.2496371148858559,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.1061527480312946,0.257287441968583,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
