analysis,scope,shots,set,model,horizon,median_absolute_nrmse_inflation,mean_absolute_nrmse_inflation,median_relative_nrmse_inflation,p90_relative_nrmse_inflation,n_rows,passing_strata,total_strata,passing_fraction,notes,comparator,interaction,interaction_change_from_exact,magnitude_ratio_to_exact,sign_preserved
tail_cell,set_model_horizon,100,F,QRC_K0,1,0.4060885749280165,0.4809374713820208,2.3310541116148435,3.987474103744081,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,100,F,AB_noaux,1,0.422951844104131,0.4859133167721713,1.9161189853203984,3.628024717570169,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,300,F,single_kernel,1,0.3164285518434583,0.3727993850978707,1.9527007671541143,3.176980481950701,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,300,F,QRC_K0,1,0.2998555066472533,0.3567774243764255,1.653238018473452,3.1090150085842696,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,100,S,AB_noaux,1,0.3172335820229773,0.376625166443295,1.5467180596406465,2.9803722270109128,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,1000,S,QRC_K0,1,0.1753914688764943,0.2112984413605596,1.1025607205685848,2.8964994541795037,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,1000,S,single_kernel,1,0.1911201696782438,0.2216991938544468,1.1672173614541863,2.8369333665736227,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,300,F,AB_noaux,1,0.2939942618097964,0.3568396255736446,1.3968380862098613,2.832566259641659,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,1000,F,single_kernel,1,0.2252616191897986,0.2650242802043224,1.455159653233184,2.427864737774995,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,1000,F,QRC_K0,1,0.2042862648909139,0.2448355417291253,1.1230939575911354,2.2648421863391515,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,100,F,single_kernel,2,0.370165855254906,0.4359847277529625,1.3113776128479566,2.2309231212442704,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,100,S,single_kernel,2,0.3577823249237628,0.3971317972483973,1.1027557946852309,2.1589901467725694,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,100,F,QRC_K0,2,0.3485555743654166,0.419632967058867,1.3016603261725548,2.157859899788229,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,100,S,QRC_K0,2,0.3425128956956964,0.3863764525824095,1.04940931106939,2.135497719552008,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,300,S,AB_noaux,1,0.2144979972905621,0.2589832753771973,0.9973602568566724,2.106102732428331,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,3000,S,single_kernel,1,0.13985685857293,0.1597270057157855,0.8239985450618231,2.0946699799436788,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,1000,F,AB_noaux,1,0.2014007609393281,0.2482625879089482,1.0182910021572027,2.075429051982317,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,3000,S,QRC_K0,1,0.1184941752552196,0.143307380029925,0.7309416628612868,2.071767283302083,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,100,F,AB_noaux,2,0.3473449441660308,0.4146540627399858,1.1090757206057904,1.9665043452814024,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,3000,F,single_kernel,1,0.166154974561777,0.1985447804196657,1.0755207420576005,1.9569193561066327,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,100,Z,QRC_K0,1,0.3369859644584838,0.3372728691590302,1.4580217001337024,1.8431847581330296,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,100,Z,single_kernel,1,0.3312135200193518,0.3326525037819276,1.429186518671986,1.7886314351864383,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,3000,F,QRC_K0,1,0.1418407096477032,0.1763203265860934,0.8142323002930257,1.772877633279426,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,300,F,QRC_K0,2,0.2606236700069226,0.3085009562519445,0.9509971657074344,1.704206369809336,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
tail_cell,set_model_horizon,300,F,single_kernel,2,0.2706538563867519,0.321166363772155,1.0277665863590515,1.695397315067108,,,,,one of 30 largest set×model×horizon P90 cells,,,,,
contrast,set_comparator,0,Z,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0233334164134448,0.0,,True
contrast,set_comparator,0,Z,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.0577259379536248,0.0,,True
contrast,set_comparator,0,F,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0254407348853159,0.0,,True
contrast,set_comparator,0,F,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.0291300849290878,0.0,,True
contrast,set_comparator,0,S,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,-0.0041874492494905,0.0,,True
contrast,set_comparator,0,S,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.0963805681109634,0.0,,True
contrast,set_comparator,100,Z,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0140623783820387,-0.0092710380314061,0.6026712133734479,True
contrast,set_comparator,100,Z,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.007214949189476,0.0505109887641487,0.12498626172644024,True
contrast,set_comparator,100,F,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0262531121762491,0.0008123772909331,1.0319321471881733,True
contrast,set_comparator,100,F,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.0068513937650792,0.0222786911640086,0.23519992412510105,True
contrast,set_comparator,100,S,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0056560173749825,0.009843466624473,-1.3507070863415684,False
contrast,set_comparator,100,S,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.001668578032258,0.0947119900787053,0.017312390505282747,True
contrast,set_comparator,300,Z,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0212179477621574,-0.0021154686512874,0.909337380613134,True
contrast,set_comparator,300,Z,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.008889293465038,0.0488366444885868,0.1539913214087466,True
contrast,set_comparator,300,F,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0253897279120986,-5.100697321729769e-05,0.9979950668309215,True
contrast,set_comparator,300,F,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.0106837257059193,0.0184463592231684,0.36675916777884443,True
contrast,set_comparator,300,S,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0065276565200052,0.0107151057694958,-1.5588622407303063,False
contrast,set_comparator,300,S,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.0106978529431685,0.0856827151677948,0.1109959523257013,True
contrast,set_comparator,1000,Z,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0296336134177897,0.0063001970043448,1.2700074816611382,True
contrast,set_comparator,1000,Z,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.0172326957960786,0.0404932421575461,0.2985260423126049,True
contrast,set_comparator,1000,F,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0314569310704529,0.006016196185137,1.2364788679359053,True
contrast,set_comparator,1000,F,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.0107975882849994,0.0183324966440883,0.3706679301239347,True
