model,set,horizon,channel_seed,segment_id,nrmse_new,nrmse_reference,abs_nrmse_difference
QRC_K0,Z,32,2,Z030,1.1646415723820231,1.1646415723820231,0.0
QRC_K0,Z,32,2,Z034,1.081454321026529,1.081454321026529,0.0
QRC_K0,Z,32,2,Z035,0.9428730977747767,0.9428730977747768,1.1102230246251565e-16
QRC_K0,Z,32,2,Z037,1.0174276839831615,1.0174276839831615,0.0
QRC_K0,Z,32,2,Z067,1.0402080145800725,1.0402080145800725,0.0
QRC_K0,Z,32,2,Z068,1.023844823305472,1.023844823305472,0.0
QRC_K0,Z,32,2,Z072,1.0149487926455891,1.0149487926455891,0.0
QRC_K0,Z,32,2,Z073,1.1178711252252658,1.1178711252252658,0.0
QRC_K0,Z,32,2,Z075,1.0091219606409843,1.0091219606409845,2.220446049250313e-16
QRC_K0,Z,32,2,Z077,1.0124797191142483,1.0124797191142485,2.220446049250313e-16
QRC_K0,Z,32,2,Z080,1.1455333065146998,1.1455333065146998,0.0
QRC_K0,Z,32,2,Z082,1.0315180153376928,1.0315180153376928,0.0
QRC_K0,Z,32,2,Z083,1.1300523564126261,1.130052356412626,2.220446049250313e-16
QRC_K0,Z,64,2,Z005,1.0755743053496807,1.075574305349681,2.220446049250313e-16
QRC_K0,Z,64,2,Z007,1.0394211166623113,1.0394211166623113,0.0
QRC_K0,Z,64,2,Z009,1.0951568607468862,1.0951568607468862,0.0
QRC_K0,Z,64,2,Z011,1.0718031797421708,1.0718031797421708,0.0
QRC_K0,Z,64,2,Z013,1.0741457815615283,1.0741457815615283,0.0
QRC_K0,Z,64,2,Z019,1.0888810898193402,1.0888810898193402,0.0
QRC_K0,Z,64,2,Z028,1.2832794382250101,1.28327943822501,2.220446049250313e-16
QRC_K0,Z,64,2,Z030,1.2786749795940435,1.2786749795940435,0.0
QRC_K0,Z,64,2,Z034,1.1130808141715618,1.1130808141715618,0.0
QRC_K0,Z,64,2,Z035,1.032512442190621,1.032512442190621,0.0
QRC_K0,Z,64,2,Z037,1.0491202475574934,1.0491202475574934,0.0
QRC_K0,Z,64,2,Z067,1.1055913469014664,1.1055913469014664,0.0
QRC_K0,Z,64,2,Z068,1.054239963651179,1.054239963651179,0.0
QRC_K0,Z,64,2,Z072,1.0368131091929256,1.0368131091929256,0.0
QRC_K0,Z,64,2,Z073,1.2800985205762867,1.2800985205762867,0.0
QRC_K0,Z,64,2,Z075,1.0421915010393872,1.0421915010393872,0.0
QRC_K0,Z,64,2,Z077,1.044989737062059,1.044989737062059,0.0
QRC_K0,Z,64,2,Z080,1.292273177272108,1.292273177272108,0.0
QRC_K0,Z,64,2,Z082,1.019920450386488,1.019920450386488,0.0
QRC_K0,Z,64,2,Z083,1.2682264101704412,1.2682264101704412,0.0
QRC_K0,Z,128,2,Z005,1.0708162896814284,1.0708162896814284,0.0
QRC_K0,Z,128,2,Z007,1.0622104387960223,1.0622104387960225,2.220446049250313e-16
QRC_K0,Z,128,2,Z009,1.064219970630255,1.064219970630255,0.0
QRC_K0,Z,128,2,Z011,1.0823673651870533,1.0823673651870531,2.220446049250313e-16
QRC_K0,Z,128,2,Z013,1.0383054986010805,1.0383054986010805,0.0
QRC_K0,Z,128,2,Z019,1.0524265542714226,1.0524265542714226,0.0
QRC_K0,Z,128,2,Z028,1.2569028558105966,1.2569028558105966,0.0
QRC_K0,Z,128,2,Z030,1.3271742289254964,1.3271742289254964,0.0
QRC_K0,Z,128,2,Z034,1.118858808676387,1.118858808676387,0.0
QRC_K0,Z,128,2,Z035,1.0875805929572948,1.0875805929572948,0.0
QRC_K0,Z,128,2,Z037,1.0569798000769144,1.0569798000769144,0.0
QRC_K0,Z,128,2,Z067,1.0659867845285922,1.0659867845285922,0.0
QRC_K0,Z,128,2,Z068,1.0564509336493306,1.0564509336493306,0.0
QRC_K0,Z,128,2,Z072,1.0363048317407126,1.0363048317407126,0.0
QRC_K0,Z,128,2,Z073,1.3078158344972188,1.3078158344972188,0.0
QRC_K0,Z,128,2,Z075,1.0590679646642214,1.0590679646642214,0.0
QRC_K0,Z,128,2,Z077,1.0459308935140108,1.0459308935140108,0.0
QRC_K0,Z,128,2,Z080,1.3353166696580807,1.3353166696580807,0.0
QRC_K0,Z,128,2,Z082,1.0371523545909032,1.0371523545909032,0.0
QRC_K0,Z,128,2,Z083,1.2861533041096807,1.2861533041096809,2.220446049250313e-16
QRC_K0,Z,1,3,Z005,0.26474167949553623,0.2647416794955362,5.551115123125783e-17
QRC_K0,Z,1,3,Z007,0.25370961178542545,0.2537096117854254,5.551115123125783e-17
QRC_K0,Z,1,3,Z009,0.24902465425874631,0.2490246542587463,2.7755575615628914e-17
QRC_K0,Z,1,3,Z011,0.24807447938352176,0.2480744793835217,5.551115123125783e-17
QRC_K0,Z,1,3,Z013,0.21280726152003107,0.212807261520031,8.326672684688674e-17
QRC_K0,Z,1,3,Z019,0.21449070700574405,0.214490707005744,5.551115123125783e-17
QRC_K0,Z,1,3,Z028,0.2286286014957801,0.2286286014957801,0.0
QRC_K0,Z,1,3,Z030,0.5922482000602203,0.5922482000602203,0.0
