construction,set,horizon,horizon_ms,n_segments,mean_nrmse,ci95_lo,ci95_hi
NVAR2,F,64,368.64235931109954,20,1.1327257307625722,1.0686201849242047,1.2135092068119704
NVAR2,F,128,737.2847186221991,20,1.1537336499782604,1.075820890681399,1.2472149883576453
NVAR2,S,1,5.76003686423593,20,0.1433826501150265,0.11913362923488573,0.17088641244465164
NVAR2,S,2,11.52007372847186,20,0.3384176604676955,0.2897640587209937,0.39660292369939204
NVAR2,S,4,23.04014745694372,20,0.7697600810794439,0.7021035433015219,0.8482977390838036
NVAR2,S,8,46.08029491388744,20,0.967905732680298,0.9329988036252537,1.0053285589768728
NVAR2,S,16,92.16058982777488,20,0.9694188032561615,0.9349666059897205,1.0064776150570618
NVAR2,S,32,184.32117965554977,20,0.9995925824813909,0.9834450157296529,1.015087936301756
NVAR2,S,64,368.64235931109954,20,1.010284098663444,1.0032470961005522,1.0206428534655985
NVAR2,S,128,737.2847186221991,20,1.0063674478109854,1.0006279159398168,1.0145203917578398
NVAR2,Z,1,5.76003686423593,20,0.23511512953129948,0.20032937860740269,0.2831305666089904
NVAR2,Z,2,11.52007372847186,20,0.4626118037807525,0.4162008776600279,0.5247382863173593
NVAR2,Z,4,23.04014745694372,20,0.8483154533283749,0.8052793762582594,0.8953670423003411
NVAR2,Z,8,46.08029491388744,20,0.9721761043186152,0.9400491851098051,1.001234064585511
NVAR2,Z,16,92.16058982777488,20,1.0043166177946063,0.9730980921045205,1.0349333548385018
NVAR2,Z,32,184.32117965554977,20,1.0799337418097195,1.045713411525822,1.1202833246744868
NVAR2,Z,64,368.64235931109954,20,1.129107329980275,1.0795977342183307,1.1880695487913362
NVAR2,Z,128,737.2847186221991,20,1.1351642584283959,1.0808682519513875,1.1995569446156786
QRC_K0,F,1,5.76003686423593,20,0.230418432086351,0.19008677159166534,0.2803989489376074
QRC_K0,F,2,11.52007372847186,20,0.3613208764399863,0.3133353115145398,0.4126571150236087
QRC_K0,F,4,23.04014745694372,20,0.6328310557006023,0.5705911508909897,0.6945287755067998
QRC_K0,F,8,46.08029491388744,20,0.9279934217486326,0.8717416334550797,0.9805679962526048
QRC_K0,F,16,92.16058982777488,20,1.068392401029822,1.0214753102334984,1.1182800947199236
QRC_K0,F,32,184.32117965554977,20,1.0950477476848344,1.062073955104106,1.1309956510734636
QRC_K0,F,64,368.64235931109954,20,1.0735992641917265,1.0465473601427095,1.1034413131707228
QRC_K0,F,128,737.2847186221991,20,1.0692453795413266,1.0428906201033012,1.1005686838053477
QRC_K0,S,1,5.76003686423593,20,0.17335716606983373,0.14543248682798246,0.20330478907327837
QRC_K0,S,2,11.52007372847186,20,0.36206369226983415,0.3128288935861426,0.41894576679780166
QRC_K0,S,4,23.04014745694372,20,0.7602159195531502,0.6927145953717125,0.8356611641393161
QRC_K0,S,8,46.08029491388744,20,0.9638009893671651,0.9246508114674059,1.0076639945469683
QRC_K0,S,16,92.16058982777488,20,0.9702945274046423,0.939076508789795,1.0039946560147581
QRC_K0,S,32,184.32117965554977,20,0.998277552066982,0.979860237683825,1.017233948868756
QRC_K0,S,64,368.64235931109954,20,1.0089421467396904,1.0028810044113663,1.0184125237038724
QRC_K0,S,128,737.2847186221991,20,1.0041847336014906,1.0001002452652314,1.0089911790818933
QRC_K0,Z,1,5.76003686423593,20,0.265191733026714,0.2328150739701674,0.30841718364703447
QRC_K0,Z,2,11.52007372847186,20,0.49990843014261355,0.457898402525461,0.5528072960794327
QRC_K0,Z,4,23.04014745694372,20,0.8541964989986314,0.813789534232861,0.8980019256319585
QRC_K0,Z,8,46.08029491388744,20,0.9693385340072332,0.9401160892493023,0.9941683638408182
QRC_K0,Z,16,92.16058982777488,20,0.9973898479750531,0.9695120358058585,1.0221712026786567
QRC_K0,Z,32,184.32117965554977,20,1.0614045246054604,1.0374996172676547,1.0867143901653717
QRC_K0,Z,64,368.64235931109954,20,1.1102872482766473,1.074045325128821,1.1512183515445542
QRC_K0,Z,128,737.2847186221991,20,1.113415692415911,1.0735017017999524,1.157761697718109
dual_kernel,F,1,5.76003686423593,20,0.23750803158159145,0.19892772734789288,0.28568112387373357
dual_kernel,F,2,11.52007372847186,20,0.365341860834244,0.31844351324076003,0.4159241849273057
dual_kernel,F,4,23.04014745694372,20,0.6298735850514294,0.5681353989901834,0.6913075873580483
dual_kernel,F,8,46.08029491388744,20,0.9071379811183382,0.8534625728401158,0.9582103829615101
dual_kernel,F,16,92.16058982777488,20,1.0306499936326787,0.9951045299693284,1.0658490397445113
dual_kernel,F,32,184.32117965554977,20,1.0481600928591572,1.0279491692838458,1.0675308663089536
dual_kernel,F,64,368.64235931109954,20,1.0328181565042753,1.0192995853171387,1.0457103339637195
dual_kernel,F,128,737.2847186221991,20,1.0337540359849409,1.0222487608183561,1.0463609174589403
dual_kernel,S,1,5.76003686423593,20,0.17508374893188058,0.14847923402230345,0.20291505700796372
dual_kernel,S,2,11.52007372847186,20,0.3648834257435488,0.3175748690379052,0.41821076671979796
dual_kernel,S,4,23.04014745694372,20,0.7568488904126596,0.6927592382767146,0.8276259033659321
dual_kernel,S,8,46.08029491388744,20,0.9440073870494012,0.9067366759056549,0.9832486378111267
dual_kernel,S,16,92.16058982777488,20,0.9572174783891235,0.9282263399649956,0.9870506869546435
dual_kernel,S,32,184.32117965554977,20,0.9941445908846134,0.9781018484679659,1.0092145590952712
dual_kernel,S,64,368.64235931109954,20,1.0070850508943605,1.0024699786448654,1.0136631875371642
dual_kernel,S,128,737.2847186221991,20,1.002383753894792,0.9996601584163107,1.0049187331579763
dual_kernel,Z,1,5.76003686423593,20,0.2715137109795438,0.23926039332453097,0.3143799013372934
dual_kernel,Z,2,11.52007372847186,20,0.5080661815200755,0.4667790041377071,0.559555651619897
dual_kernel,Z,4,23.04014745694372,20,0.8554992647552163,0.818594957931481,0.8950981706393428
dual_kernel,Z,8,46.08029491388744,20,0.9610734818188478,0.9360546977696368,0.9820795922625147
dual_kernel,Z,16,92.16058982777488,20,0.9861562202518119,0.9627293964237074,1.0065027222943725
dual_kernel,Z,32,184.32117965554977,20,1.0419750455541565,1.0262915082278905,1.05765230213832
dual_kernel,Z,64,368.64235931109954,20,1.0778355491550002,1.0566465285959705,1.1017046551333443
dual_kernel,Z,128,737.2847186221991,20,1.0739309844652636,1.0494167235246104,1.1015951973429439
persistence,F,1,5.76003686423593,20,0.23186273893750506,0.2072915695012543,0.2576948574094636
persistence,F,2,11.52007372847186,20,0.41949195564516034,0.3794380780542003,0.4601027431403812
persistence,F,4,23.04014745694372,20,0.7295767226007404,0.6676470043011075,0.789964827291605
persistence,F,8,46.08029491388744,20,1.1079852948303028,1.0285286447689466,1.182650678394187
persistence,F,16,92.16058982777488,20,1.3350140545204148,1.269500563532811,1.4000689391691188
persistence,F,32,184.32117965554977,20,1.4430033447348618,1.3869864935764955,1.4964200084476422
persistence,F,64,368.64235931109954,20,1.4467722788916797,1.4045273466851924,1.4947476478856168
persistence,F,128,737.2847186221991,20,1.4273953043807774,1.401469225798085,1.4529588564354272
persistence,S,1,5.76003686423593,20,0.35653254795350847,0.3237428706155947,0.39132276439479446
persistence,S,2,11.52007372847186,20,0.6749382244498816,0.6171170679094445,0.73274751108604
persistence,S,4,23.04014745694372,20,1.1467718776600455,1.0697421270603538,1.2239179910681959
persistence,S,8,46.08029491388744,20,1.4873551326590921,1.425738718552133,1.5430558287803862
persistence,S,16,92.16058982777488,20,1.5757600842927784,1.5092755167524738,1.6352501925572334
persistence,S,32,184.32117965554977,20,1.3023908097395653,1.229124087271078,1.371346765726967
persistence,S,64,368.64235931109954,20,1.3995312350126405,1.3621632759468414,1.4345757678310282
persistence,S,128,737.2847186221991,20,1.3951967057364114,1.3682327954492424,1.422007563452026
persistence,Z,1,5.76003686423593,20,0.3750791601305391,0.3427548406085837,0.41216176551563777
persistence,Z,2,11.52007372847186,20,0.6697970757482958,0.6204076424790157,0.7237278609657983
persistence,Z,4,23.04014745694372,20,1.0562856791485273,0.9961893876041948,1.1181866279877364
persistence,Z,8,46.08029491388744,20,1.2429242555640656,1.199074673747273,1.2830314185392402
persistence,Z,16,92.16058982777488,20,1.208039757995414,1.1590162437623104,1.252838719499563
persistence,Z,32,184.32117965554977,20,1.3191980759517803,1.2889232451867798,1.3476623771831604
persistence,Z,64,368.64235931109954,20,1.425618747767904,1.408825496554106,1.4423168381907532
persistence,Z,128,737.2847186221991,20,1.4526044599784411,1.4369287623281854,1.4668085529772148
single_kernel,F,1,5.76003686423593,20,0.23030059534296696,0.19209402059392305,0.27851440854124476
single_kernel,F,2,11.52007372847186,20,0.3599872121275003,0.31371745739869294,0.4095084595089329
single_kernel,F,4,23.04014745694372,20,0.6282922678789594,0.5671726754388453,0.6892626839561259
single_kernel,F,8,46.08029491388744,20,0.9100479027237884,0.8553011369085101,0.9619690567672294
single_kernel,F,16,92.16058982777488,20,1.0325490227041068,0.997055685351173,1.06730586405168
single_kernel,F,32,184.32117965554977,20,1.0519768357615824,1.0308744765575304,1.0723730778564486
single_kernel,F,64,368.64235931109954,20,1.0354603092778065,1.021495725224889,1.0489012727148708
single_kernel,F,128,737.2847186221991,20,1.036229086377612,1.0241006448472687,1.0494901616349492
single_kernel,S,1,5.76003686423593,20,0.16970042691486611,0.14324365997259553,0.1981101438228903
single_kernel,S,2,11.52007372847186,20,0.3572545442224215,0.3098757079472651,0.411860272718312
single_kernel,S,4,23.04014745694372,20,0.7569748366752649,0.6923963454286701,0.8285094471955393
single_kernel,S,8,46.08029491388744,20,0.9536285545857206,0.9173059880580062,0.9924573868855017
single_kernel,S,16,92.16058982777488,20,0.9629668226482495,0.9343396230247436,0.9930009817268325
single_kernel,S,32,184.32117965554977,20,0.9954081314726455,0.9792660316176001,1.01091276985639
single_kernel,S,64,368.64235931109954,20,1.007274809395996,1.0024460767372625,1.0143003039963896
single_kernel,S,128,737.2847186221991,20,1.002638047282918,0.9999605000353373,1.005225575897566
