set,model,horizon,channel_seed,noise_replicate,shots,shot_label,segment_id,selected_alpha,nrmse,rmse,r2,mae
S,single_kernel,1,2,0,0,exact,S028,1e-08,0.11417558656673577,0.17792876695414858,0.9869639354321418,0.11924730690930666
S,single_kernel,1,2,0,0,exact,S030,1e-08,0.19100730054099177,0.29290272791777094,0.9635162111400433,0.1912645491983966
S,single_kernel,1,2,0,0,exact,S034,1e-08,0.26785624210091,0.33116170408044787,0.9282530335675787,0.19648010275913197
S,single_kernel,1,2,0,0,exact,S035,1e-08,0.2317780651120447,0.39957015746436264,0.9462789285329167,0.29176490139642536
S,single_kernel,1,2,0,0,exact,S037,1e-08,0.2049819888962252,0.39780839640344745,0.9579823842281479,0.22724727528328492
S,single_kernel,1,2,0,0,exact,S067,1e-08,0.14247913754295938,0.2282700062164094,0.9796996953650144,0.14465829693263257
S,single_kernel,1,2,0,0,exact,S068,1e-08,0.19511170663412353,0.3559263005235291,0.9619314219343197,0.20558415347425663
S,single_kernel,1,2,0,0,exact,S072,1e-08,0.18252240024304336,0.15119983712474772,0.9666855734095183,0.10200880965467495
S,single_kernel,1,2,0,0,exact,S073,1e-08,0.10712857887935244,0.11372590973944698,0.9885234675872904,0.07491404187037522
S,single_kernel,1,2,0,0,exact,S075,1e-08,0.08579242271908392,0.055800372320129146,0.99263966020399,0.039841733552614896
S,single_kernel,1,2,0,0,exact,S077,1e-08,0.13520131193096324,0.04992418409914229,0.9817206052521463,0.03486468580619062
S,single_kernel,1,2,0,0,exact,S080,1e-08,0.09198781715505654,0.1565128258145665,0.9915382414950479,0.11775350207538782
S,single_kernel,1,2,0,0,exact,S082,1e-08,0.1165879432563533,0.1518570647628186,0.9864072514872534,0.10374904242058888
S,single_kernel,1,2,0,0,exact,S083,1e-08,0.20939414515490778,0.06554030335574865,0.9561540919748455,0.04723223739430348
S,single_kernel,2,2,0,0,exact,S005,0.001,0.319128702413318,0.34882694067803777,0.898156871295992,0.23341197659781976
S,single_kernel,2,2,0,0,exact,S007,0.001,0.745392940142284,0.6071716526158805,0.4443893647860414,0.292037195440823
S,single_kernel,2,2,0,0,exact,S009,0.001,0.31171762385185414,0.3393664694676127,0.9028321229801539,0.24991735782185734
S,single_kernel,2,2,0,0,exact,S011,0.001,0.4944667569326758,0.5855155186454687,0.7555026262884822,0.36262904891306175
S,single_kernel,2,2,0,0,exact,S013,0.001,0.2852421861049081,0.5040989526878327,0.9186368952660929,0.3349201874168306
S,single_kernel,2,2,0,0,exact,S019,0.001,0.2674285774432904,0.39509468558084815,0.9284819559666581,0.2871194325738647
S,single_kernel,2,2,0,0,exact,S028,0.001,0.2484125302053288,0.38713914602073574,0.9382912148369866,0.28705712900499164
S,single_kernel,2,2,0,0,exact,S030,0.001,0.41363384535480946,0.6342289654295918,0.8289070419769936,0.42691911788862164
S,single_kernel,2,2,0,0,exact,S034,0.001,0.5139992965914448,0.6355496897179168,0.7358047231034999,0.3983907139256655
S,single_kernel,2,2,0,0,exact,S035,0.001,0.4397158294485555,0.7581348978075093,0.8066499893323689,0.5761712622251952
S,single_kernel,2,2,0,0,exact,S037,0.001,0.40038597430578154,0.7766411251592705,0.8396910715792101,0.49918804102681064
S,single_kernel,2,2,0,0,exact,S067,0.001,0.30339998124765877,0.4860547434612334,0.9079484513789203,0.35284562787163487
S,single_kernel,2,2,0,0,exact,S068,0.001,0.41634962914047385,0.7590764908259054,0.8266529863145899,0.4645925937037484
S,single_kernel,2,2,0,0,exact,S072,0.001,0.3726659620546935,0.308732350952932,0.8611200807258497,0.2233864855714716
S,single_kernel,2,2,0,0,exact,S073,0.001,0.2657537023572678,0.2820695265016341,0.9293749696834047,0.1980856050928495
S,single_kernel,2,2,0,0,exact,S075,0.001,0.22024824972345797,0.14326726595915792,0.9514907084937533,0.10154195051596203
S,single_kernel,2,2,0,0,exact,S077,0.001,0.3314837953627665,0.12240323227489132,0.8901184934118955,0.08574377962735462
S,single_kernel,2,2,0,0,exact,S080,0.001,0.23526759132237232,0.40033861449453106,0.9446491604733692,0.3072880560790586
S,single_kernel,2,2,0,0,exact,S082,0.001,0.2564821112941541,0.3340777224590388,0.9342169265860931,0.23665275574702646
S,single_kernel,2,2,0,0,exact,S083,0.001,0.4670068288281682,0.14618744112190754,0.781904621827858,0.11051334022187174
S,single_kernel,4,2,0,0,exact,S005,0.01,0.6625042075927128,0.7243203255999315,0.5610881749219518,0.5470099146650251
S,single_kernel,4,2,0,0,exact,S007,0.01,1.2730129666818786,1.0371408995442724,-0.6205620133401983,0.615398040969242
S,single_kernel,4,2,0,0,exact,S009,0.01,0.663875263177371,0.7225833914045624,0.5592696349411763,0.526821409080164
S,single_kernel,4,2,0,0,exact,S011,0.01,0.9286863507084516,1.0997370662011978,0.13754166200781903,0.7566353098936592
S,single_kernel,4,2,0,0,exact,S013,0.01,0.6522263298225964,1.152868029686445,0.5746008146861457,0.7955371893275631
S,single_kernel,4,2,0,0,exact,S019,0.01,0.6158586389618566,0.909221110376206,0.6207181368160495,0.6823911897981888
S,single_kernel,4,2,0,0,exact,S028,0.01,0.5791844732316176,0.9026280770968648,0.6645453459674137,0.6999410392164612
S,single_kernel,4,2,0,0,exact,S030,0.01,0.8570712098521381,1.3126960022175616,0.2654289412425921,0.9353415276271955
S,single_kernel,4,2,0,0,exact,S034,0.01,0.9449731217135806,1.1687225616938914,0.10702579923889077,0.7663961830355449
S,single_kernel,4,2,0,0,exact,S035,0.01,0.8075151083365518,1.3925936905809322,0.34791934980820705,1.116586936116186
S,single_kernel,4,2,0,0,exact,S037,0.01,0.7803697334171577,1.5120685233483295,0.3910230791664343,1.0775660140874241
S,single_kernel,4,2,0,0,exact,S067,0.01,0.6976281801797737,1.1175715112281102,0.5133149222190573,0.8697911270084424
S,single_kernel,4,2,0,0,exact,S068,0.01,0.8552986633039353,1.5576414238697063,0.26846419655050147,1.0564555799047106
S,single_kernel,4,2,0,0,exact,S072,0.01,0.7678526720239854,0.6361399978199058,0.4104022740656258,0.4765262508860173
S,single_kernel,4,2,0,0,exact,S073,0.01,0.6783399171733071,0.7191570294565375,0.539854956769311,0.5209978725466771
S,single_kernel,4,2,0,0,exact,S075,0.01,0.6047532949030523,0.39346051402456655,0.6342734523039018,0.27531473808487844
S,single_kernel,4,2,0,0,exact,S077,0.01,0.7600059920646928,0.28064047092680494,0.42239089202576197,0.2016761400730046
S,single_kernel,4,2,0,0,exact,S080,0.01,0.5778976032155639,0.9835577351640755,0.6660343601977066,0.7855133793679475
S,single_kernel,4,2,0,0,exact,S082,0.01,0.6038737079624659,0.7865526266300998,0.6353365448316625,0.5766691987523589
S,single_kernel,4,2,0,0,exact,S083,0.01,0.9525209628296125,0.2982409401418346,0.09270381537014794,0.22633586660436397
S,single_kernel,8,2,0,0,exact,S005,0.01,0.9366039778975057,1.0234911255009425,0.12277298858656871,0.8353845531765595
S,single_kernel,8,2,0,0,exact,S007,0.01,1.1616718014493095,0.9467830753214161,-0.3494813742824836,0.7571883296952708
S,single_kernel,8,2,0,0,exact,S009,0.01,0.8678611676833232,0.9449445352146052,0.24681699362733855,0.7483313816011475
S,single_kernel,8,2,0,0,exact,S011,0.01,0.9813987543411783,1.162394917532616,0.03685648497758365,0.887228826687401
S,single_kernel,8,2,0,0,exact,S013,0.01,0.8469415001315203,1.4977229244319028,0.28269009535497003,1.120564656602312
S,single_kernel,8,2,0,0,exact,S019,0.01,0.8930076468034456,1.3155017224584042,0.20253734275057267,0.9968484862208502
S,single_kernel,8,2,0,0,exact,S028,0.01,0.8611206927579178,1.3413236065695107,0.25847115250412367,1.0811136796748508
S,single_kernel,8,2,0,0,exact,S030,0.01,0.9977583381989622,1.5269727937299542,0.004478298554445148,1.1794246063569995
S,single_kernel,8,2,0,0,exact,S034,0.01,0.9634423314703068,1.1916757452919418,0.07177887393105953,0.9090053637716965
S,single_kernel,8,2,0,0,exact,S035,0.01,0.9108482672939846,1.5702484916311867,0.17035543396754593,1.2755123853524566
S,single_kernel,8,2,0,0,exact,S037,0.01,0.9879094714089093,1.9149279824604435,0.024034876300569663,1.4486287448986543
S,single_kernel,8,2,0,0,exact,S067,0.01,0.9713466521792634,1.5556291739727741,0.05648568130013698,1.257213381859208
S,single_kernel,8,2,0,0,exact,S068,0.01,1.0231130795034036,1.8637966078155157,-0.04676037345093764,1.4017376678487494
S,single_kernel,8,2,0,0,exact,S072,0.01,0.8696431850570644,0.7206551057262427,0.2437207306838045,0.6063454096379107
S,single_kernel,8,2,0,0,exact,S073,0.01,1.0105028720574867,1.0684740409516182,-0.021116054436429055,0.7834454665481524
S,single_kernel,8,2,0,0,exact,S075,0.01,0.9539707164402141,0.6208571646137897,0.08993987217454469,0.47288699203371937
S,single_kernel,8,2,0,0,exact,S077,0.01,1.0193870536218494,0.37650442280213997,-0.03914996509183544,0.2836295958936672
S,single_kernel,8,2,0,0,exact,S080,0.01,0.7998357567828054,1.361668367396862,0.3602627621716771,1.1133681907148356
S,single_kernel,8,2,0,0,exact,S082,0.01,0.8016713553699432,1.0435587110448994,0.3573230379793184,0.8142367228741181
S,single_kernel,8,2,0,0,exact,S083,0.01,1.152266595910665,0.36092415390231475,-0.32771830805155155,0.285470300545653
S,single_kernel,16,2,0,0,exact,S005,10.0,0.9265315044408273,1.0122842864439938,0.14153937127861715,0.8376218033757358
S,single_kernel,16,2,0,0,exact,S007,10.0,1.1338895611616073,0.9248788628684226,-0.28570553691126266,0.7512570162014052
S,single_kernel,16,2,0,0,exact,S009,10.0,0.9278808289749965,1.0105367050650722,0.13903716722067339,0.8060046920983605
S,single_kernel,16,2,0,0,exact,S011,10.0,0.9826275548349871,1.164836674763901,0.03444308847901478,0.8720909486746955
S,single_kernel,16,2,0,0,exact,S013,10.0,0.931517530537561,1.6478862026402428,0.13227509030120388,1.298117087296517
S,single_kernel,16,2,0,0,exact,S019,10.0,0.96015905734759,1.4143662263002723,0.0780945845933878,1.0644293932254656
S,single_kernel,16,2,0,0,exact,S028,10.0,0.8614617008688688,1.3422198041158955,0.25788373793611596,1.0805301890352454
S,single_kernel,16,2,0,0,exact,S030,10.0,1.027696514279856,1.5721057591765868,-0.05616012546296578,1.1942497156106435
S,single_kernel,16,2,0,0,exact,S034,10.0,0.9695120604283312,1.1959030202200107,0.06004636468401203,0.9125453326530494
S,single_kernel,16,2,0,0,exact,S035,10.0,0.9210682805293835,1.5863166320424227,0.15163322260264478,1.2906983743571314
S,single_kernel,16,2,0,0,exact,S037,10.0,0.9733047915593206,1.888187406519172,0.052677782727667544,1.443678682831691
S,single_kernel,16,2,0,0,exact,S067,10.0,0.97375070854788,1.5568878797827745,0.05180955760250172,1.2756539112313938
S,single_kernel,16,2,0,0,exact,S068,10.0,1.0215111169915019,1.8623266866366137,-0.04348496213722619,1.4125818897730087
S,single_kernel,16,2,0,0,exact,S072,10.0,0.8763015847039991,0.726199786574723,0.23209553264525984,0.6126371753618238
S,single_kernel,16,2,0,0,exact,S073,10.0,1.0027954701223616,1.0607227073369707,-0.00559875489792816,0.7675494863719358
S,single_kernel,16,2,0,0,exact,S075,10.0,0.9264884951112946,0.6031427717825331,0.1416190684264088,0.46923382911316924
S,single_kernel,16,2,0,0,exact,S077,10.0,1.029895915041278,0.3806563978491658,-0.060685595818711136,0.2839140228857023
S,single_kernel,16,2,0,0,exact,S080,10.0,0.869096375883603,1.4800007160903133,0.24467148942598704,1.1817572691803455
S,single_kernel,16,2,0,0,exact,S082,10.0,0.903997824709464,1.1754130118367914,0.18278793292055717,0.9437237236613597
S,single_kernel,16,2,0,0,exact,S083,10.0,1.097854630610619,0.34367085533048264,-0.2052847899531789,0.25830639936384614
S,single_kernel,32,2,0,0,exact,S005,100.0,1.0120645165210684,1.1072642691229915,-0.024274585601024246,0.9413279881644333
S,single_kernel,32,2,0,0,exact,S007,100.0,1.0023860628903465,0.8190506499484204,-0.004777819076809742,0.6425761735191571
S,single_kernel,32,2,0,0,exact,S009,100.0,0.9478894788307828,1.0321229724479026,0.10150553592190659,0.8287715917818129
S,single_kernel,32,2,0,0,exact,S011,100.0,1.0031265989836484,1.1834393334682942,-0.006262973588501364,0.8627227991893648
S,single_kernel,32,2,0,0,exact,S013,100.0,0.947795634966585,1.6749618525450034,0.10168343433828753,1.3140376348914038
S,single_kernel,32,2,0,0,exact,S019,100.0,1.03876708005422,1.532888662334887,-0.07903704660437016,1.2130705698910245
S,single_kernel,32,2,0,0,exact,S028,100.0,1.0257475276118961,1.5967705055605272,-0.05215799040191782,1.327197193953214
S,single_kernel,32,2,0,0,exact,S030,100.0,0.9981027502628254,1.528708276668992,0.0037908999177842517,1.1327127309108702
S,single_kernel,32,2,0,0,exact,S034,100.0,1.009467285170431,1.2462114929805592,-0.019024199829360322,0.9475633350671169
S,single_kernel,32,2,0,0,exact,S035,100.0,1.000773308027985,1.7245197536997916,-0.0015472140612764473,1.4176450942272565
S,single_kernel,32,2,0,0,exact,S037,100.0,1.0054416842349307,1.9498465977497057,-0.010912980397174366,1.467654473171389
S,single_kernel,32,2,0,0,exact,S067,100.0,1.0071668885246532,1.6126230917108406,-0.014385141340431229,1.2729498487726039
S,single_kernel,32,2,0,0,exact,S068,100.0,1.0002375846114315,1.8246923311538639,-0.000475225669310797,1.3249826855435056
S,single_kernel,32,2,0,0,exact,S072,100.0,0.9300457155534877,0.7704569356704772,0.1350149669806009,0.656289811180991
S,single_kernel,32,2,0,0,exact,S073,100.0,1.0434679938372569,1.1057956726477354,-0.08882545416274912,0.8306102833362891
S,single_kernel,32,2,0,0,exact,S075,100.0,0.9516883435967735,0.6191189407348897,0.09428929666202968,0.49628559893619595
S,single_kernel,32,2,0,0,exact,S077,100.0,1.0176886776040261,0.3752926225114819,-0.03569024452343128,0.2780333729932868
S,single_kernel,32,2,0,0,exact,S080,100.0,0.972201822554158,1.656444280282385,0.05482361622237342,1.3784670717986816
S,single_kernel,32,2,0,0,exact,S082,100.0,0.9393481562756706,1.2216445464774255,0.11762504130149842,0.9796716610343769
S,single_kernel,32,2,0,0,exact,S083,100.0,1.108068422247426,0.34731003568416047,-0.22781562838189995,0.26351137617247383
S,single_kernel,64,2,0,0,exact,S005,100.0,1.0039520737626229,1.099108740952581,-0.00791976641227099,0.9387176415467612
S,single_kernel,64,2,0,0,exact,S007,100.0,1.0183790029992692,0.8264232590527589,-0.03709579374978578,0.6348029059972784
S,single_kernel,64,2,0,0,exact,S009,100.0,1.0081720681053714,1.1011643883121887,-0.01641091890786206,0.89418276409436
S,single_kernel,64,2,0,0,exact,S011,100.0,1.0015144226371484,1.180033731258674,-0.003031138750220874,0.8516269796346464
S,single_kernel,64,2,0,0,exact,S013,100.0,1.0040994558394467,1.7736942681380057,-0.008215717217072704,1.4061114357571554
S,single_kernel,64,2,0,0,exact,S019,100.0,1.0026459227246423,1.476109174170894,-0.005298846356349252,1.1599720921634893
S,single_kernel,64,2,0,0,exact,S028,100.0,1.0001173141022097,1.5494390223174117,-0.00023464196701805662,1.2857888364146475
S,single_kernel,64,2,0,0,exact,S030,100.0,1.0031338822725893,1.5386062927047384,-0.006277585763276861,1.1513497537169148
S,single_kernel,64,2,0,0,exact,S034,100.0,1.0032405769277617,1.2374507966719686,-0.006491655194347912,0.9300035813040594
S,single_kernel,64,2,0,0,exact,S035,100.0,1.0034493175652026,1.7271134240763748,-0.006910532922071111,1.4259782307197462
S,single_kernel,64,2,0,0,exact,S037,100.0,0.9998331251904814,1.9387578377243984,0.0003337217718351049,1.4701035246058602
S,single_kernel,64,2,0,0,exact,S067,100.0,1.0006807042216626,1.604098411811205,-0.001361871801561998,1.2699596534445858
S,single_kernel,64,2,0,0,exact,S068,100.0,0.99947273542699,1.8216547004174797,0.001054251138090101,1.3467114356612397
