set,model,horizon,shots,mean_nrmse,median_nrmse_inflation,mean_nrmse_inflation,paired_segment_ci95_low,paired_segment_ci95_high,median_relative_nrmse_inflation,mean_relative_nrmse_inflation,p90_relative_nrmse_inflation,useful_horizon,criterion,exact_useful_horizon,useful_horizon_change_from_exact
F,QRC_K0,16,300,1.1084276645731208,0.02859295597436545,0.030901576874465323,0.015472708620309377,0.04687906553501598,0.027783662260065803,0.028204600738721327,0.07101130595583073,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,16,1000,1.1028279045000136,0.02460089905568635,0.025301816801358096,0.013478616323975925,0.03794409869065206,0.02394886265430765,0.02323844308818975,0.06083703140371816,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,16,3000,1.0967977018524813,0.01985818329520645,0.01927161415382571,0.009109262549048572,0.029091527311825162,0.019403657500359002,0.017802916608448696,0.051370150540502466,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,16,10000,1.0959418864220958,0.0185304401882747,0.018415798723440256,0.008827634979875888,0.027539283294499388,0.01866054725226885,0.016835015562534777,0.04685681954996599,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,32,100,1.1323174094989186,0.01113898100278075,0.02329628309595492,0.009153900638440007,0.04228760972394514,0.00996544553037675,0.01994157646245429,0.061928101411537685,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,32,300,1.1290260189446488,0.0111275521031817,0.020004892541685054,0.00801708972634271,0.034593599321962154,0.010523531236856,0.017321855389884653,0.04540748736659594,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,32,1000,1.1272016099572613,0.011498654565582252,0.018180483554297525,0.008784577524074898,0.029188676783846616,0.0105354970045334,0.015921894856968117,0.04250532428643898,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,32,3000,1.1245050015892248,0.0100524063579941,0.015483875186260935,0.008250834699968825,0.024238954710289754,0.0094354735960349,0.013646604633402207,0.0373222238859598,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,32,10000,1.121690911481,0.00831793250288555,0.012669785078036464,0.006477263818131082,0.020492801022740516,0.00758647563929485,0.011132506234603825,0.027896873489798135,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,64,100,1.115229653341672,0.0165208309206111,0.03094566151013027,0.012931551323354346,0.05237130466916312,0.0161634018551622,0.026705591123605512,0.07990918598359349,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,64,300,1.1097218545283813,0.0150138527797449,0.025437862696839782,0.012469763756547552,0.0417343208446926,0.01435020831728695,0.022126964919908544,0.05848046645128492,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,64,1000,1.1048236389772172,0.012118018162494651,0.02053964714567567,0.011026855448492622,0.03149271565960074,0.011177897202526,0.017974533447733778,0.048651118237808065,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,64,3000,1.0996251044218555,0.01023869789109555,0.015341112590313762,0.00909401367714621,0.02277479753970532,0.00942075890558075,0.013551146075703357,0.03554898542432266,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,64,10000,1.096519601538879,0.00829384051004025,0.012235609707337485,0.007281247222637391,0.018040158423627044,0.00769402457770915,0.010883989432799104,0.029959860576194354,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,128,100,1.0959898023155137,0.0042327754057102495,0.008912494296169221,0.004148241440567571,0.014566039561081344,0.00394006726838575,0.007543226668616911,0.023634650468787828,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,128,300,1.090965097970745,0.0018980268027911,0.003887789951400496,0.0020320181601424154,0.0060962485485453076,0.0017723328810817,0.0033189462073868253,0.010972987978693383,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,128,1000,1.0883921005338233,0.00064141673233925,0.0013147925144790492,0.0006022845339696906,0.0021779224600603298,0.0006052060819839,0.0010929878307582707,0.004302221212145571,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,QRC_K0,128,3000,1.0872318259810354,0.0001061238905303,0.00015451796169110854,-0.00012300589657499017,0.0004316956653954335,0.0001006848645955337,0.00018209542719162386,0.0021461954743637905,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,QRC_K0,128,10000,1.0872760613391201,0.00011125641394635,0.00019875331977574272,9.631010687995861e-05,0.0003497262157931977,0.00010640332675809999,0.00016951688348616363,0.00092892926643415,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,single_kernel,1,100,0.7403382571809038,0.4401648176327761,0.5039136263381961,0.40979712281727365,0.6094905024114938,2.6007930637619765,2.515675511515833,4.199868784426377,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,1,300,0.6092240159405784,0.3164285518434583,0.37279938509787075,0.29600416941071694,0.45627362475208033,1.9527007671541146,1.8687765640523348,3.176980481950701,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,1,1000,0.5014489110470302,0.2252616191897986,0.26502428020432245,0.20167877502303497,0.3353879953293292,1.455159653233184,1.3435950055769859,2.427864737774995,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,1,3000,0.4349694112623734,0.16615497456177705,0.19854478041966572,0.14724678411713524,0.2566743733776893,1.0755207420576005,1.0226534431540852,1.9569193561066327,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,1,10000,0.385883327827061,0.12654416837281057,0.14945869698435332,0.10975316684194525,0.1940056806134906,0.7551331225805548,0.775020049635594,1.5358246625068939,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,single_kernel,2,100,0.8017448597970244,0.370165855254906,0.43598472775296254,0.35285618802703417,0.5324694157543514,1.3113776128479566,1.3318229641432762,2.2309231212442704,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,2,300,0.6869264958162169,0.2706538563867519,0.321166363772155,0.25183003251325625,0.3972323437644591,1.0277665863590515,0.9842859055347092,1.695397315067108,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
