stratum,r,u0,theory,metric,n_total,n_valid,n_pass,pass_fraction,mean,median,std,min,max,q10,q25,q75,q90
u0=-0.5,all,-0.5,tangent_recurrence,memory_function_l1,20,20,20,1.0,1.7256534182952906e-05,1.1868698088278738e-05,1.357990865086586e-05,2.972646846110012e-07,4.649633286646186e-05,4.223252473590826e-06,6.482193993937928e-06,2.842035216891966e-05,3.719541957120391e-05
u0=-0.5,all,-0.5,tangent_recurrence,impulse_cosine_similarity,20,20,-1,,0.9999999989651351,0.9999999990393768,6.510013063776636e-10,0.9999999978426344,0.9999999997633264,0.9999999980739055,0.9999999984181285,0.9999999995927282,0.999999999714644
u0=-0.5,all,-0.5,tangent_recurrence,step_cosine_similarity,20,20,-1,,0.9999999907754613,0.9999999957675791,1.1950762938231394e-08,0.9999999552573721,0.9999999995513056,0.9999999820091058,0.999999986203741,0.9999999994445776,0.999999999540203
u0=-0.5,all,-0.5,separable_W_times_R,impulse_relative_frobenius,20,20,0,0.0,0.4012875632776649,0.3834599268926006,0.04929208555641948,0.34484523200576817,0.5035216759206512,0.3510998165517919,0.3592049501068475,0.4438063838118706,0.4653278518069552
u0=-0.5,all,-0.5,separable_W_times_R,step_relative_frobenius,20,20,0,0.0,0.14976250040441258,0.1386915441790081,0.07700887466806902,0.04080820393518276,0.3254598172372086,0.07082093594597216,0.08848170611689904,0.17952814270342538,0.2630354957655411
u0=-0.5,all,-0.5,separable_W_times_R,frequency_relative_frobenius,20,20,0,0.0,0.401287563277665,0.38345992689260067,0.04929208555641946,0.3448452320057682,0.5035216759206512,0.35109981655179184,0.3592049501068475,0.44380638381187054,0.46532785180695524
u0=-0.5,all,-0.5,separable_W_times_R,memory_function_l1,20,20,0,0.0,0.5802877048019769,0.5725658730621823,0.08586573932346364,0.4480162446211884,0.7195472258940274,0.4514687605820537,0.5299539038029142,0.6515141235511515,0.6912456352961446
u0=-0.5,all,-0.5,separable_W_times_R,impulse_cosine_similarity,20,20,-1,,0.918650213598732,0.9262659817339314,0.023939507390002623,0.865181440911277,0.9492321484179844,0.8907205732824466,0.8996890840336321,0.937416112746523,0.9437358952031135
u0=-0.5,all,-0.5,separable_W_times_R,step_cosine_similarity,20,20,-1,,0.9928931672080916,0.9935969910695588,0.005196029532193857,0.9804426643471549,0.9991672615602625,0.9850385114638298,0.9921180760889052,0.9970261665065869,0.9977640821001955
u0=-0.5,all,-0.5,tangent_recurrence,joint_pass_all4,20,20,20,1.0,,,,,,,,,
u0=-0.5,all,-0.5,separable_W_times_R,joint_pass_all4,20,20,0,0.0,,,,,,,,,
u0=-0.5,all,-0.5,n/a,locally_stable_over_valid,20,20,20,1.0,,,,,,,,,
u0=-0.5,all,-0.5,n/a,locally_stable_over_total,20,20,20,1.0,,,,,,,,,
u0=0.0,all,0.0,tangent_recurrence,impulse_relative_frobenius,20,20,20,1.0,3.2283440060424064e-05,3.3005156746678666e-05,9.275081176356061e-06,1.8396356719018302e-05,4.7351885168112705e-05,2.1303617641858125e-05,2.2190568133306557e-05,4.122339226009355e-05,4.342145418256864e-05
u0=0.0,all,0.0,tangent_recurrence,step_relative_frobenius,20,20,20,1.0,4.3941645042750135e-05,4.2253731490435515e-05,8.413752811800831e-06,3.171416986976163e-05,6.204876832048964e-05,3.460612667416954e-05,3.88865750600609e-05,4.779568330657282e-05,5.749683499513479e-05
