seed,r,u0,epsilon,fixed_point_converged,fixed_iterations,fixed_final_difference,companion_spectral_radius,companion_stable,companion_dimension,n_unstable_modes,dominant_abs_1,dominant_abs_2,dominant_abs_3,companion_max_real_part,max_A_eigenvalue_abs,valid,exception,K,past_mass,git_commit,config_sha256,protocol_sha256
6,0.7,0.0,0.0001,True,781,9.820635540886499e-14,0.9839947122130968,True,4080,0,0.9839947122130968,0.9511098392816602,0.9257775301637996,0.9839947122130968,0.9680286579989664,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
6,0.9,0.0,0.0001,True,781,9.820635540886499e-14,0.9888838406486005,True,4080,0,0.9888838406486005,0.9663668583094891,0.949223688142776,0.9888838406486005,0.9680286579989664,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
6,0.7,0.5,0.0001,True,543,9.781708681348162e-14,0.9779926061672661,True,4080,0,0.9779926061672661,0.9593534008215894,0.9322681543791407,0.9779926061672661,0.9558758828456285,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
6,0.9,0.5,0.0001,True,543,9.781708681348162e-14,0.9847444467219473,True,4080,0,0.9847444467219473,0.9719772761325807,0.9536053704573922,0.9847444467219473,0.9558758828456285,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
7,0.7,-0.5,0.0001,True,558,9.928940360448754e-14,0.9779229780559773,True,4080,0,0.9779229780559773,0.940782202347666,0.9144052792117103,0.9779229780559773,0.9557343597074712,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
7,0.9,-0.5,0.0001,True,558,9.928940360448754e-14,0.9846965139850006,True,4080,0,0.9846965139850006,0.9593628779983244,0.9415564060960069,0.9846965139850006,0.9557343597074712,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
7,0.7,0.0,0.0001,True,401,9.890372313189133e-14,0.97051860296322,True,4080,0,0.97051860296322,0.9359571956077077,0.9193345414256913,0.97051860296322,0.9406116704813463,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
7,0.9,0.0,0.0001,True,401,9.890372313189133e-14,0.9796100409552093,True,4080,0,0.9796100409552093,0.9560984708817831,0.9448786746948231,0.9796100409552093,0.9406116704813463,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
7,0.7,0.5,0.0001,True,292,9.298455025332248e-14,0.9576798912528148,True,4080,0,0.9576798912528148,0.9370429553670523,0.9214174741508989,0.9576798912528148,0.9140351100576873,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
7,0.9,0.5,0.0001,True,292,9.298455025332248e-14,0.9708367196924065,True,4080,0,0.9708367196924065,0.9568326761971154,0.9462829768447619,0.9708367196924065,0.9140351100576873,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
